	entity	entity_id	n_properties	pattern_type	sentence	speaker	speaker_id	to_resolve	frequency	combination_type	combination_id
228	Chandler Bing	59	1	I	I am the paternal uncle/godfather of Ben Geller.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_106
229	Chandler Bing	59	1	person	This person is the ex-boyfriend of Aurora.	average	---	(1, 1)	---	relations	Chandler_Bing_107
230	Chandler Bing	59	1	I	I am the ex-boyfriend of Aurora.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_107
231	Chandler Bing	59	1	person	This person is the husband of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Chandler_Bing_108
232	Chandler Bing	59	1	I	I am the husband of Monica Geller-Bing.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_108
233	Chandler Bing	59	1	person	This person is the brother-in-law of Ross Geller.	average	---	(1, 1)	---	relations	Chandler_Bing_109
234	Chandler Bing	59	1	I	I am the brother-in-law of Ross Geller.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_109
235	Chandler Bing	59	1	person	This person is the brother-in-law of Rachel Green.	average	---	(1, 1)	---	relations	Chandler_Bing_110
236	Chandler Bing	59	1	I	I am the brother-in-law of Rachel Green.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_110
237	Chandler Bing	59	1	person	This person is the son-in-law of Jack Geller.	average	---	(1, 1)	---	relations	Chandler_Bing_111
238	Chandler Bing	59	1	I	I am the son-in-law of Jack Geller.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_111
239	Chandler Bing	59	1	person	This person is the son-in-law of Judy Geller.	average	---	(1, 1)	---	relations	Chandler_Bing_112
240	Chandler Bing	59	1	I	I am the son-in-law of Judy Geller.	Chandler Bing	59	(0, 0)	---	relations	Chandler_Bing_112
241	Rachel Green	306	2	np	This daughter of Leonard Green is a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_113
242	Rachel Green	306	2	np	This waitress is a daughter of Leonard Green.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_113
243	Rachel Green	306	2	my	My daughter is a waitress.	Leonard Green	205	(1, 1)	---	attributes & relations	Rachel_Green_113
244	Rachel Green	306	2	person	This person is a daughter of Leonard Green and a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_113
245	Rachel Green	306	2	person	This person is a waitress and a daughter of Leonard Green.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_113
246	Rachel Green	306	2	I	I am a daughter of Leonard Green and a waitress.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_113
247	Rachel Green	306	2	I	I am a waitress and a daughter of Leonard Green.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_113
248	Rachel Green	306	2	np	This daughter of Sandra Green is a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_114
249	Rachel Green	306	2	np	This waitress is a daughter of Sandra Green.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_114
250	Rachel Green	306	2	my	My daughter is a waitress.	Sandra Green	340	(1, 1)	---	attributes & relations	Rachel_Green_114
251	Rachel Green	306	2	person	This person is a daughter of Sandra Green and a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_114
252	Rachel Green	306	2	person	This person is a waitress and a daughter of Sandra Green.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_114
253	Rachel Green	306	2	I	I am a daughter of Sandra Green and a waitress.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_114
254	Rachel Green	306	2	I	I am a waitress and a daughter of Sandra Green.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_114
255	Rachel Green	306	2	np	This stepmother of Ben Geller is a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_115
256	Rachel Green	306	2	np	This waitress is a stepmother of Ben Geller.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_115
257	Rachel Green	306	2	my	My stepmother is a waitress.	Ben Geller	30	(1, 1)	---	attributes & relations	Rachel_Green_115
258	Rachel Green	306	2	person	This person is a stepmother of Ben Geller and a waitress.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_115
259	Rachel Green	306	2	person	This person is a waitress and a stepmother of Ben Geller.	average	---	(1, 1)	---	attributes & relations	Rachel_Green_115
260	Rachel Green	306	2	I	I am a stepmother of Ben Geller and a waitress.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_115
261	Rachel Green	306	2	I	I am a waitress and a stepmother of Ben Geller.	Rachel Green	306	(0, 0)	---	attributes & relations	Rachel_Green_115
262	Rachel Green	306	1	person	This person is the daughter-in-law of Judy Geller.	average	---	(1, 1)	---	relations	Rachel_Green_116
263	Rachel Green	306	1	I	I am the daughter-in-law of Judy Geller.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_116
264	Rachel Green	306	1	person	This person is the daughter-in-law of Jack Geller.	average	---	(1, 1)	---	relations	Rachel_Green_117
265	Rachel Green	306	1	I	I am the daughter-in-law of Jack Geller.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_117
266	Rachel Green	306	1	person	This person is the ex-girlfriend of Joey Tribbiani Jr..	average	---	(1, 1)	---	relations	Rachel_Green_118
267	Rachel Green	306	1	I	I am the ex-girlfriend of Joey Tribbiani Jr..	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_118
268	Rachel Green	306	1	person	This person is the ex-girlfriend of Paolo.	average	---	(1, 1)	---	relations	Rachel_Green_119
269	Rachel Green	306	1	I	I am the ex-girlfriend of Paolo.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_119
270	Rachel Green	306	1	person	This person is the ex-girlfriend of Russ.	average	---	(1, 1)	---	relations	Rachel_Green_120
271	Rachel Green	306	1	I	I am the ex-girlfriend of Russ.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_120
272	Rachel Green	306	1	person	This person is the wife of Ross Geller.	average	---	(1, 1)	---	relations	Rachel_Green_121
273	Rachel Green	306	1	I	I am the wife of Ross Geller.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_121
274	Rachel Green	306	2	np	This daughter of Leonard Green is a stepmother of Ben Geller.	average	---	(1, 1)	---	relations	Rachel_Green_122
275	Rachel Green	306	2	np	This stepmother of Ben Geller is a daughter of Leonard Green.	average	---	(1, 1)	---	relations	Rachel_Green_122
276	Rachel Green	306	2	my	My daughter is a stepmother of Ben Geller.	Leonard Green	205	(1, 1)	---	relations	Rachel_Green_122
277	Rachel Green	306	2	my	My stepmother is a daughter of Leonard Green.	Ben Geller	30	(1, 1)	---	relations	Rachel_Green_122
278	Rachel Green	306	2	person	This person is a daughter of Leonard Green and a stepmother of Ben Geller.	average	---	(1, 1)	---	relations	Rachel_Green_122
279	Rachel Green	306	2	person	This person is a stepmother of Ben Geller and a daughter of Leonard Green.	average	---	(1, 1)	---	relations	Rachel_Green_122
280	Rachel Green	306	2	I	I am a daughter of Leonard Green and a stepmother of Ben Geller.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_122
281	Rachel Green	306	2	I	I am a stepmother of Ben Geller and a daughter of Leonard Green.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_122
282	Rachel Green	306	2	np	This daughter of Sandra Green is a stepmother of Ben Geller.	average	---	(1, 1)	---	relations	Rachel_Green_123
283	Rachel Green	306	2	np	This stepmother of Ben Geller is a daughter of Sandra Green.	average	---	(1, 1)	---	relations	Rachel_Green_123
284	Rachel Green	306	2	my	My daughter is a stepmother of Ben Geller.	Sandra Green	340	(1, 1)	---	relations	Rachel_Green_123
285	Rachel Green	306	2	my	My stepmother is a daughter of Sandra Green.	Ben Geller	30	(1, 1)	---	relations	Rachel_Green_123
286	Rachel Green	306	2	person	This person is a daughter of Sandra Green and a stepmother of Ben Geller.	average	---	(1, 1)	---	relations	Rachel_Green_123
287	Rachel Green	306	2	person	This person is a stepmother of Ben Geller and a daughter of Sandra Green.	average	---	(1, 1)	---	relations	Rachel_Green_123
288	Rachel Green	306	2	I	I am a daughter of Sandra Green and a stepmother of Ben Geller.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_123
289	Rachel Green	306	2	I	I am a stepmother of Ben Geller and a daughter of Sandra Green.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_123
290	Rachel Green	306	1	person	This person is the ex-fiancé of Barry Farber.	average	---	(1, 1)	---	relations	Rachel_Green_124
291	Rachel Green	306	1	I	I am the ex-fiancé of Barry Farber.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_124
292	Rachel Green	306	1	person	This person is the sister-in-law of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Rachel_Green_125
293	Rachel Green	306	1	I	I am the sister-in-law of Monica Geller-Bing.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_125
294	Rachel Green	306	1	person	This person is the sister-in-law of Chandler Bing.	average	---	(1, 1)	---	relations	Rachel_Green_126
295	Rachel Green	306	1	I	I am the sister-in-law of Chandler Bing.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_126
296	Rachel Green	306	1	person	This person is the sister of Jill Green.	average	---	(1, 1)	---	relations	Rachel_Green_127
297	Rachel Green	306	1	I	I am the sister of Jill Green.	Rachel Green	306	(0, 0)	---	relations	Rachel_Green_127
298	Monica Geller-Bing	248	2	np	This chef is a waitress.	average	---	(1, 1)	---	attributes	Monica_Geller-Bing_128
299	Monica Geller-Bing	248	2	np	This waitress is a chef.	average	---	(1, 1)	---	attributes	Monica_Geller-Bing_128
300	Monica Geller-Bing	248	2	person	This person is a chef and a waitress.	average	---	(1, 1)	---	attributes	Monica_Geller-Bing_128
301	Monica Geller-Bing	248	2	person	This person is a waitress and a chef.	average	---	(1, 1)	---	attributes	Monica_Geller-Bing_128
302	Monica Geller-Bing	248	2	I	I am a chef and a waitress.	Monica Geller-Bing	248	(0, 0)	---	attributes	Monica_Geller-Bing_128
303	Monica Geller-Bing	248	2	I	I am a waitress and a chef.	Monica Geller-Bing	248	(0, 0)	---	attributes	Monica_Geller-Bing_128
304	Monica Geller-Bing	248	1	person	This person is the ex-girlfriend of Fun Bobby.	average	---	(1, 1)	---	relations	Monica_Geller-Bing_129
305	Monica Geller-Bing	248	1	I	I am the ex-girlfriend of Fun Bobby.	Monica Geller-Bing	248	(0, 0)	---	relations	Monica_Geller-Bing_129
306	Monica Geller-Bing	248	1	person	This person is the ex-sister-in-law of Carol Willick.	average	---	(1, 1)	---	relations	Monica_Geller-Bing_130
307	Monica Geller-Bing	248	1	I	I am the ex-sister-in-law of Carol Willick.	Monica Geller-Bing	248	(0, 0)	---	relations	Monica_Geller-Bing_130
308	Monica Geller-Bing	248	1	person	This person is the wife of Chandler Bing.	average	---	(1, 1)	---	relations	Monica_Geller-Bing_131
309	Monica Geller-Bing	248	1	I	I am the wife of Chandler Bing.	Monica Geller-Bing	248	(0, 0)	---	relations	Monica_Geller-Bing_131
310	Melanie	237	1	person	This person is a shop assistant.	average	---	(1, 1)	---	attributes	Melanie_132
311	Melanie	237	1	I	I am a shop assistant.	Melanie	237	(0, 0)	---	attributes	Melanie_132
312	Max	236	1	person	This person is a researcher.	average	---	(1, 1)	---	attributes	Max_133
313	Max	236	1	I	I am a researcher.	Max	236	(0, 0)	---	attributes	Max_133
314	Luisa	220	1	person	This person is a animal control employee.	average	---	(1, 1)	---	attributes	Luisa_134
315	Luisa	220	1	I	I am a animal control employee.	Luisa	220	(0, 0)	---	attributes	Luisa_134
316	Lizzy	214	1	person	This person is an unemployed.	average	---	(1, 1)	---	attributes	Lizzy_135
317	Lizzy	214	1	I	I am an unemployed.	Lizzy	214	(0, 0)	---	attributes	Lizzy_135
318	Leslie	207	1	person	This person is a songwriter.	average	---	(1, 1)	---	attributes	Leslie_136
319	Leslie	207	1	I	I am a songwriter.	Leslie	207	(0, 0)	---	attributes	Leslie_136
320	Leslie	207	1	person	This person is a singer.	average	---	(1, 1)	---	attributes	Leslie_137
321	Leslie	207	1	I	I am a singer.	Leslie	207	(0, 0)	---	attributes	Leslie_137
322	Joey Tribbiani Jr.	183	1	person	This person is a cologne sampler.	average	---	(1, 1)	---	attributes	Joey_Tribbiani_Jr._138
323	Joey Tribbiani Jr.	183	1	I	I am a cologne sampler.	Joey Tribbiani Jr.	183	(0, 0)	---	attributes	Joey_Tribbiani_Jr._138
324	Joey Tribbiani Jr.	183	1	person	This person is a christmas elf.	average	---	(1, 1)	---	attributes	Joey_Tribbiani_Jr._139
325	Joey Tribbiani Jr.	183	1	I	I am a christmas elf.	Joey Tribbiani Jr.	183	(0, 0)	---	attributes	Joey_Tribbiani_Jr._139
326	Joey Tribbiani Jr.	183	1	person	This person is a minister.	average	---	(1, 1)	---	attributes	Joey_Tribbiani_Jr._140
327	Joey Tribbiani Jr.	183	1	I	I am a minister.	Joey Tribbiani Jr.	183	(0, 0)	---	attributes	Joey_Tribbiani_Jr._140
328	Joey Tribbiani Jr.	183	1	person	This person is the ex-boyfriend of Melanie.	average	---	(1, 1)	---	relations	Joey_Tribbiani_Jr._141
329	Joey Tribbiani Jr.	183	1	I	I am the ex-boyfriend of Melanie.	Joey Tribbiani Jr.	183	(0, 0)	---	relations	Joey_Tribbiani_Jr._141
330	David	79	1	person	This person is the ex-boyfriend of Phoebe Buffay.	average	---	(1, 1)	---	relations	David_142
331	David	79	1	I	I am the ex-boyfriend of Phoebe Buffay.	David	79	(0, 0)	---	relations	David_142
332	David	79	1	person	This person is a physicist.	average	---	(1, 1)	---	attributes	David_143
333	David	79	1	I	I am a physicist.	David	79	(0, 0)	---	attributes	David_143
334	Carol Willick	51	1	person	This person is the ex-daughter-in-law of Jack Geller.	average	---	(1, 1)	---	relations	Carol_Willick_144
335	Carol Willick	51	1	I	I am the ex-daughter-in-law of Jack Geller.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_144
336	Carol Willick	51	1	person	This person is the ex-daughter-in-law of Judy Geller.	average	---	(1, 1)	---	relations	Carol_Willick_145
337	Carol Willick	51	1	I	I am the ex-daughter-in-law of Judy Geller.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_145
338	Carol Willick	51	1	person	This person is the ex-wife of Ross Geller.	average	---	(1, 1)	---	relations	Carol_Willick_146
339	Carol Willick	51	1	I	I am the ex-wife of Ross Geller.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_146
340	Carol Willick	51	1	person	This person is the wife of Susan Bunch.	average	---	(1, 1)	---	relations	Carol_Willick_147
341	Carol Willick	51	1	I	I am the wife of Susan Bunch.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_147
342	Carol Willick	51	1	person	This person is the ex-sister-in-law of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Carol_Willick_148
343	Carol Willick	51	1	I	I am the ex-sister-in-law of Monica Geller-Bing.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_148
344	Carol Willick	51	1	person	This person is a teacher.	average	---	(1, 1)	---	attributes	Carol_Willick_149
345	Carol Willick	51	1	I	I am a teacher.	Carol Willick	51	(0, 0)	---	attributes	Carol_Willick_149
346	Carol Willick	51	1	person	This person is the mother of Ben Geller.	average	---	(1, 1)	---	relations	Carol_Willick_150
347	Carol Willick	51	1	I	I am the mother of Ben Geller.	Carol Willick	51	(0, 0)	---	relations	Carol_Willick_150
348	Gunther	145	1	person	This person is a barmanager.	average	---	(1, 1)	---	attributes	Gunther_151
349	Gunther	145	1	I	I am a barmanager.	Gunther	145	(0, 0)	---	attributes	Gunther_151
350	Gunther	145	1	person	This person is a barista.	average	---	(1, 1)	---	attributes	Gunther_152
351	Gunther	145	1	I	I am a barista.	Gunther	145	(0, 0)	---	attributes	Gunther_152
352	Paul the Wine Guy	284	1	person	This person is the one-night stand of Franny.	average	---	(1, 1)	---	relations	Paul_the_Wine_Guy_153
353	Paul the Wine Guy	284	1	I	I am the one-night stand of Franny.	Paul the Wine Guy	284	(0, 0)	---	relations	Paul_the_Wine_Guy_153
354	Franny	134	1	person	This person is the one-night stand of Paul the Wine Guy.	average	---	(1, 1)	---	relations	Franny_154
355	Franny	134	1	I	I am the one-night stand of Paul the Wine Guy.	Franny	134	(0, 0)	---	relations	Franny_154
356	Frank Buffay Sr.	132	1	person	This person is a pharmacist.	average	---	(1, 1)	---	attributes	Frank_Buffay_Sr._155
357	Frank Buffay Sr.	132	1	I	I am a pharmacist.	Frank Buffay Sr.	132	(0, 0)	---	attributes	Frank_Buffay_Sr._155
358	Frank Buffay Sr.	132	1	person	This person is the ex-son-in-law of Frances.	average	---	(1, 1)	---	relations	Frank_Buffay_Sr._156
359	Frank Buffay Sr.	132	1	I	I am the ex-son-in-law of Frances.	Frank Buffay Sr.	132	(0, 0)	---	relations	Frank_Buffay_Sr._156
360	Frank Buffay Sr.	132	1	person	This person is the father of Phoebe Buffay.	average	---	(1, 1)	---	relations	Frank_Buffay_Sr._157
361	Frank Buffay Sr.	132	1	I	I am the father of Phoebe Buffay.	Frank Buffay Sr.	132	(0, 0)	---	relations	Frank_Buffay_Sr._157
362	Frank Buffay Sr.	132	1	person	This person is the husband of Mrs. Buffay (Frank Sr.'s second wife).	average	---	(1, 1)	---	relations	Frank_Buffay_Sr._158
363	Frank Buffay Sr.	132	1	I	I am the husband of Mrs. Buffay (Frank Sr.'s second wife).	Frank Buffay Sr.	132	(0, 0)	---	relations	Frank_Buffay_Sr._158
364	Estelle Leonard	121	1	person	This person is a acting agent.	average	---	(1, 1)	---	attributes	Estelle_Leonard_159
365	Estelle Leonard	121	1	I	I am a acting agent.	Estelle Leonard	121	(0, 0)	---	attributes	Estelle_Leonard_159
366	Leonard Green	205	1	person	This person is the father-in-law of Ross Geller.	average	---	(1, 1)	---	relations	Leonard_Green_160
367	Leonard Green	205	1	I	I am the father-in-law of Ross Geller.	Leonard Green	205	(0, 0)	---	relations	Leonard_Green_160
368	Leonard Green	205	1	person	This person is the step-grandfather of Ben Geller.	average	---	(1, 1)	---	relations	Leonard_Green_161
369	Leonard Green	205	1	I	I am the step-grandfather of Ben Geller.	Leonard Green	205	(0, 0)	---	relations	Leonard_Green_161
370	Leonard Green	205	1	person	This person is the father of Rachel Green.	average	---	(1, 1)	---	relations	Leonard_Green_162
371	Leonard Green	205	1	I	I am the father of Rachel Green.	Leonard Green	205	(0, 0)	---	relations	Leonard_Green_162
372	Leonard Green	205	1	person	This person is the ex-husband of Sandra Green.	average	---	(1, 1)	---	relations	Leonard_Green_163
373	Leonard Green	205	1	I	I am the ex-husband of Sandra Green.	Leonard Green	205	(0, 0)	---	relations	Leonard_Green_163
374	Dr Oberman	99	1	person	This person is a gynecologist.	average	---	(1, 1)	---	attributes	Dr_Oberman_164
375	Dr Oberman	99	1	I	I am a gynecologist.	Dr Oberman	99	(0, 0)	---	attributes	Dr_Oberman_164
376	Dr Oberman	99	1	person	This person is an obstetrician.	average	---	(1, 1)	---	attributes	Dr_Oberman_165
377	Dr Oberman	99	1	I	I am an obstetrician.	Dr Oberman	99	(0, 0)	---	attributes	Dr_Oberman_165
378	Dean Lipson	212	1	person	This person is a zoo administrator.	average	---	(1, 1)	---	attributes	Dean_Lipson_166
379	Dean Lipson	212	1	I	I am a zoo administrator.	Dean Lipson	212	(0, 0)	---	attributes	Dean_Lipson_166
380	Dan	73	2	np	This man is a nurse.	average	---	(1, 1)	---	attributes	Dan_167
381	Dan	73	2	np	This nurse is a man.	average	---	(1, 1)	---	attributes	Dan_167
382	Dan	73	2	he_she	He is a nurse.	average	---	(0, 0)	---	attributes	Dan_167
383	Dan	73	2	person	This person is a man and a nurse.	average	---	(1, 1)	---	attributes	Dan_167
384	Dan	73	2	person	This person is a nurse and a man.	average	---	(1, 1)	---	attributes	Dan_167
385	Dan	73	2	I	I am a man and a nurse.	Dan	73	(0, 0)	---	attributes	Dan_167
386	Dan	73	2	I	I am a nurse and a man.	Dan	73	(0, 0)	---	attributes	Dan_167
387	Nurse Sizemore	282	2	np	This woman is a nurse.	average	---	(1, 1)	---	attributes	Nurse_Sizemore_168
388	Nurse Sizemore	282	2	np	This nurse is a woman.	average	---	(1, 1)	---	attributes	Nurse_Sizemore_168
389	Nurse Sizemore	282	2	he_she	She is a nurse.	average	---	(0, 0)	---	attributes	Nurse_Sizemore_168
390	Nurse Sizemore	282	2	person	This person is a woman and a nurse.	average	---	(1, 1)	---	attributes	Nurse_Sizemore_168
391	Nurse Sizemore	282	2	person	This person is a nurse and a woman.	average	---	(1, 1)	---	attributes	Nurse_Sizemore_168
392	Nurse Sizemore	282	2	I	I am a woman and a nurse.	Nurse Sizemore	282	(0, 0)	---	attributes	Nurse_Sizemore_168
393	Nurse Sizemore	282	2	I	I am a nurse and a woman.	Nurse Sizemore	282	(0, 0)	---	attributes	Nurse_Sizemore_168
394	Sandra Green	340	1	person	This person is the ex-wife of Leonard Green.	average	---	(1, 1)	---	relations	Sandra_Green_169
395	Sandra Green	340	1	I	I am the ex-wife of Leonard Green.	Sandra Green	340	(0, 0)	---	relations	Sandra_Green_169
396	Sandra Green	340	1	person	This person is the mother-in-law of Ross Geller.	average	---	(1, 1)	---	relations	Sandra_Green_170
397	Sandra Green	340	1	I	I am the mother-in-law of Ross Geller.	Sandra Green	340	(0, 0)	---	relations	Sandra_Green_170
398	Sandra Green	340	1	person	This person is the step-grandmother of Ben Geller.	average	---	(1, 1)	---	relations	Sandra_Green_171
399	Sandra Green	340	1	I	I am the step-grandmother of Ben Geller.	Sandra Green	340	(0, 0)	---	relations	Sandra_Green_171
400	Sandra Green	340	1	person	This person is the mother of Jill Green.	average	---	(1, 1)	---	relations	Sandra_Green_172
401	Sandra Green	340	1	I	I am the mother of Jill Green.	Sandra Green	340	(0, 0)	---	relations	Sandra_Green_172
402	Sandra Green	340	1	person	This person is the mother of Rachel Green.	average	---	(1, 1)	---	relations	Sandra_Green_173
403	Sandra Green	340	1	I	I am the mother of Rachel Green.	Sandra Green	340	(0, 0)	---	relations	Sandra_Green_173
404	Barbara Burke	28	1	person	This person is the ex-wife of Richard Burke.	average	---	(1, 1)	---	relations	Barbara_Burke_174
405	Barbara Burke	28	1	I	I am the ex-wife of Richard Burke.	Barbara Burke	28	(0, 0)	---	relations	Barbara_Burke_174
406	Charles Bing	67	1	person	This person is a performer.	average	---	(1, 1)	---	attributes	Charles_Bing_175
407	Charles Bing	67	1	I	I am a performer.	Charles Bing	67	(0, 0)	---	attributes	Charles_Bing_175
408	Charles Bing	67	1	person	This person is the father-in-law of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Charles_Bing_176
409	Charles Bing	67	1	I	I am the father-in-law of Monica Geller-Bing.	Charles Bing	67	(0, 0)	---	relations	Charles_Bing_176
410	Charles Bing	67	1	person	This person is the father of Chandler Bing.	average	---	(1, 1)	---	relations	Charles_Bing_177
411	Charles Bing	67	1	I	I am the father of Chandler Bing.	Charles Bing	67	(0, 0)	---	relations	Charles_Bing_177
412	Charles Bing	67	1	person	This person is the ex-husband of Nora Tyler Bing.	average	---	(1, 1)	---	relations	Charles_Bing_178
413	Charles Bing	67	1	I	I am the ex-husband of Nora Tyler Bing.	Charles Bing	67	(0, 0)	---	relations	Charles_Bing_178
414	Judy Geller	195	1	person	This person is the mother-in-law of Rachel Green.	average	---	(1, 1)	---	relations	Judy_Geller_179
415	Judy Geller	195	1	I	I am the mother-in-law of Rachel Green.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_179
416	Judy Geller	195	1	person	This person is the mother-in-law of Chandler Bing.	average	---	(1, 1)	---	relations	Judy_Geller_180
417	Judy Geller	195	1	I	I am the mother-in-law of Chandler Bing.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_180
418	Judy Geller	195	1	person	This person is the wife of Jack Geller.	average	---	(1, 1)	---	relations	Judy_Geller_181
419	Judy Geller	195	1	I	I am the wife of Jack Geller.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_181
420	Judy Geller	195	1	person	This person is the ex-mother-in-law of Carol Willick.	average	---	(1, 1)	---	relations	Judy_Geller_182
421	Judy Geller	195	1	I	I am the ex-mother-in-law of Carol Willick.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_182
422	Judy Geller	195	1	person	This person is the paternal grandmother of Ben Geller.	average	---	(1, 1)	---	relations	Judy_Geller_183
423	Judy Geller	195	1	I	I am the paternal grandmother of Ben Geller.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_183
424	Judy Geller	195	1	person	This person is the sister-in-law of Aunt Sylvia.	average	---	(1, 1)	---	relations	Judy_Geller_184
425	Judy Geller	195	1	I	I am the sister-in-law of Aunt Sylvia.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_184
426	Judy Geller	195	1	person	This person is the sister of Aunt Lillian.	average	---	(1, 1)	---	relations	Judy_Geller_185
427	Judy Geller	195	1	I	I am the sister of Aunt Lillian.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_185
428	Judy Geller	195	1	person	This person is the mother of Ross Geller.	average	---	(1, 1)	---	relations	Judy_Geller_186
429	Judy Geller	195	1	I	I am the mother of Ross Geller.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_186
430	Judy Geller	195	1	person	This person is the mother of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Judy_Geller_187
431	Judy Geller	195	1	I	I am the mother of Monica Geller-Bing.	Judy Geller	195	(0, 0)	---	relations	Judy_Geller_187
432	Jack Geller	163	1	person	This person is the father-in-law of Rachel Green.	average	---	(1, 1)	---	relations	Jack_Geller_188
433	Jack Geller	163	1	I	I am the father-in-law of Rachel Green.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_188
434	Jack Geller	163	1	person	This person is the father-in-law of Chandler Bing.	average	---	(1, 1)	---	relations	Jack_Geller_189
435	Jack Geller	163	1	I	I am the father-in-law of Chandler Bing.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_189
436	Jack Geller	163	1	person	This person is the ex-father-in-law of Carol Willick.	average	---	(1, 1)	---	relations	Jack_Geller_190
437	Jack Geller	163	1	I	I am the ex-father-in-law of Carol Willick.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_190
438	Jack Geller	163	1	person	This person is the paternal grandfather of Ben Geller.	average	---	(1, 1)	---	relations	Jack_Geller_191
439	Jack Geller	163	1	I	I am the paternal grandfather of Ben Geller.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_191
440	Jack Geller	163	1	person	This person is the father of Ross Geller.	average	---	(1, 1)	---	relations	Jack_Geller_192
441	Jack Geller	163	1	I	I am the father of Ross Geller.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_192
442	Jack Geller	163	1	person	This person is the father of Monica Geller-Bing.	average	---	(1, 1)	---	relations	Jack_Geller_193
443	Jack Geller	163	1	I	I am the father of Monica Geller-Bing.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_193
444	Jack Geller	163	1	person	This person is the husband of Judy Geller.	average	---	(1, 1)	---	relations	Jack_Geller_194
445	Jack Geller	163	1	I	I am the husband of Judy Geller.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_194
446	Jack Geller	163	1	person	This person is the brother of Aunt Sylvia.	average	---	(1, 1)	---	relations	Jack_Geller_195
447	Jack Geller	163	1	I	I am the brother of Aunt Sylvia.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_195
448	Jack Geller	163	1	person	This person is the brother-in-law of Aunt Lillian.	average	---	(1, 1)	---	relations	Jack_Geller_196
449	Jack Geller	163	1	I	I am the brother-in-law of Aunt Lillian.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_196
450	Jack Geller	163	1	person	This person is the son-in-law of Althea.	average	---	(1, 1)	---	relations	Jack_Geller_197
451	Jack Geller	163	1	I	I am the son-in-law of Althea.	Jack Geller	163	(0, 0)	---	relations	Jack_Geller_197
